TaskID_InDB,TaskID,OwnerJobID,CPUNeed_Claimed,RAMNeed_Claimed,StorageNeed_Claimed,ListOfResourceNeeds,TimeSubmission,TimeDeadLinePrefered,TimeDeadlineFinal,Date,SimID,EST,EFT,NodeID_SubmittedOn,LastStatus,LastStatusTime,PriorityNo,CPUNeed_Real,RAMNeed_Real,StorageNeed_Real,CPUNeed_Predicted,RAMNeed_Predicted,StorageNeed_Predicted,LengthOnScheduledMachine,LengthOnFogAndCloudBaseLineCPU,BaseLineCloudAndFogCpuMIPS,LengthOnBaseLineCloudMachine,LengthOnBaseLineFogMachine,LengthOnBaseLineIoTMachine,BaseLineCpuFogMIPS,BaseLineCpuIoTMIPS,BaseLineCpuCloudMIPS,BaseLineCloudBandwidth,BaseLineCloudAndFogBandwidth,BaseLineIoTBandwidth,BaseLineFogBandwidth,SuccessorsImediate,SuccessorsNotImmediate,PredecessorsImediate,TimeStartOnMachine,TimeFinishOnMachine
2725261,3,1,593911,2880,15,125,22,18,25,1400/12/28,5508,22,24,N_0_of_FP_0_of_Niniocom21,InitializedAndWaiting,18,2,0,0,0,0,0,0,0.0,1.0801,549850,1.6969,0.7922,593911.0,749700,1,350000,1,1,1,1,[12],[13],[1],0,0
2725262,4,1,544629,609,367,120,12,18,22,1400/12/28,5508,20,21,N_0_of_FP_0_of_Niniocom21,InitializedAndWaiting,18,1,0,0,0,0,0,0,0.0,0.9905,549850,1.5561,0.7265,544629.0,749700,1,350000,1,1,1,1,[6],"[11,13]",[0],0,0
2725263,5,1,611996,2448,62,120,22,18,26,1400/12/28,5508,23,25,N_0_of_FP_0_of_Niniocom21,InitializedAndWaiting,18,1,0,0,0,0,0,0,0.0,1.113,549850,1.7486,0.8163,611996.0,749700,1,350000,1,1,1,1,[8],"[9,11,13]",[2],0,0
2725264,6,1,583401,1147,57,133,86,18,47,1400/12/28,5508,44,46,N_0_of_FP_0_of_Niniocom21,InitializedAndWaiting,18,2,0,0,0,0,0,0,0.0,1.061,549850,1.6669,0.7782,583401.0,749700,1,350000,1,1,1,1,[11],[13],"[1,4]",0,0
2725265,7,1,577848,2271,180,12,125,18,23,1400/12/28,5508,20,22,N_0_of_FP_0_of_Niniocom21,InitializedAndWaiting,18,2,0,0,0,0,0,0,0.0,1.0509,549850,1.651,0.7708,577848.0,749700,1,350000,1,1,1,1,[11],[13],[0],0,0
2725266,8,1,585313,1817,70,133,120,18,53,1400/12/28,5508,50,52,N_0_of_FP_0_of_Niniocom21,InitializedAndWaiting,18,2,0,0,0,0,0,0,0.0,1.0645,549850,1.6723,0.7807,585313.0,749700,1,350000,1,1,1,1,[9],"[11,13]","[1,5]",0,0
2725267,9,1,557059,2138,343,22,125,18,94,1400/12/28,5508,91,93,N_0_of_FP_0_of_Niniocom21,InitializedAndWaiting,18,2,0,0,0,0,0,0,0.0,1.0131,549850,1.5916,0.743,557059.0,749700,1,350000,1,1,1,1,[11],[13],"[2,8]",0,0
2725268,10,1,615206,658,340,22,18,36,36,1400/12/28,5508,33,35,N_0_of_FP_0_of_Niniocom21,InitializedAndWaiting,18,1,0,0,0,0,0,0,0.0,1.1189,549850,1.7577,0.8206,615206.0,749700,1,350000,1,1,1,1,[12],[13],[0],0,0
2725269,11,1,550509,1753,358,22,86,18,117,1400/12/28,5508,114,116,N_0_of_FP_0_of_Niniocom21,InitializedAndWaiting,18,1,0,0,0,0,0,0,0.0,1.0012,549850,1.5729,0.7343,550509.0,749700,1,350000,1,1,1,1,[13],[],"[6,7,9]",0,0
2725270,12,1,596781,2339,188,133,125,18,78,1400/12/28,5508,75,77,N_0_of_FP_0_of_Niniocom21,InitializedAndWaiting,18,2,0,0,0,0,0,0,0.0,1.0854,549850,1.7051,0.796,596781.0,749700,1,350000,1,1,1,1,[13],[],"[3,10]",0,0
2725271,13,1,554279,3917,186,12,125,18,128,1400/12/28,5508,125,127,N_0_of_FP_0_of_Niniocom21,InitializedAndWaiting,18,1,0,0,0,0,0,0,0.0,1.0081,549850,1.5837,0.7393,554279.0,749700,1,350000,1,1,1,1,[],[],"[11,12]",0,0
2725272,0,2,629831,2808,157,155,120,45,48,1400/12/28,5508,45,47,N_0_of_FP_0_of_Niniocom21,InitializedAndWaiting,45,3,0,0,0,0,0,0,0.0,1.1455,549850,1.7995,0.8401,629831.0,749700,1,350000,1,1,1,1,"[10,1,2,3]",[11],[],0,0
2725273,1,2,562340,811,197,12,45,50,50,1400/12/28,5508,47,49,N_0_of_FP_0_of_Niniocom21,InitializedAndWaiting,45,1,0,0,0,0,0,0,0.0,1.0227,549850,1.6067,0.7501,562340.0,749700,1,350000,1,1,1,1,"[8,4]","[9,10,11]",[0],0,0
2725274,2,2,548195,3743,111,133,45,49,49,1400/12/28,5508,47,48,N_0_of_FP_0_of_Niniocom21,InitializedAndWaiting,45,1,0,0,0,0,0,0,0.0,0.997,549850,1.5663,0.7312,548195.0,749700,1,350000,1,1,1,1,"[6,5]","[8,9,10,11]",[0],0,0
2725275,3,2,556121,3629,108,86,45,50,50,1400/12/28,5508,47,49,N_0_of_FP_0_of_Niniocom21,InitializedAndWaiting,45,1,0,0,0,0,0,0,0.0,1.0114,549850,1.5889,0.7418,556121.0,749700,1,350000,1,1,1,1,"[9,7]","[10,11]",[0],0,0
2725276,4,2,567173,2531,318,120,86,45,52,1400/12/28,5508,49,51,N_0_of_FP_0_of_Niniocom21,InitializedAndWaiting,45,2,0,0,0,0,0,0,0.0,1.0315,549850,1.6205,0.7565,567173.0,749700,1,350000,1,1,1,1,[6],"[8,9,10,11]",[1],0,0
2725277,5,2,598793,334,42,22,12,45,51,1400/12/28,5508,48,50,N_0_of_FP_0_of_Niniocom21,InitializedAndWaiting,45,1,0,0,0,0,0,0,0.0,1.089,549850,1.7108,0.7987,598793.0,749700,1,350000,1,1,1,1,[10],[11],[2],0,0
2725278,6,2,545430,225,61,125,133,45,78,1400/12/28,5508,77,78,N_0_of_FP_0_of_Niniocom21,InitializedAndWaiting,45,2,0,0,0,0,0,0,0.0,0.992,549850,1.5584,0.7275,545430.0,749700,1,350000,1,1,1,1,[8],"[9,10,11]","[2,4]",0,0
2725279,7,2,599896,3757,149,22,12,45,52,1400/12/28,5508,49,51,N_0_of_FP_0_of_Niniocom21,InitializedAndWaiting,45,1,0,0,0,0,0,0,0.0,1.091,549850,1.714,0.8002,599896.0,749700,1,350000,1,1,1,1,[9],"[10,11]",[3],0,0
2725280,8,2,543175,1384,292,133,45,102,102,1400/12/28,5508,100,101,N_0_of_FP_0_of_Niniocom21,InitializedAndWaiting,45,1,0,0,0,0,0,0,0.0,0.9879,549850,1.5519,0.7245,543175.0,749700,1,350000,1,1,1,1,[9],"[10,11]","[1,6]",0,0
2725281,9,2,597806,3992,145,125,133,45,132,1400/12/28,5508,129,131,N_0_of_FP_0_of_Niniocom21,InitializedAndWaiting,45,2,0,0,0,0,0,0,0.0,1.0872,549850,1.708,0.7974,597806.0,749700,1,350000,1,1,1,1,[10],[11],"[3,7,8]",0,0
2725282,10,2,588880,2271,395,22,45,154,154,1400/12/28,5508,151,153,N_0_of_FP_0_of_Niniocom21,InitializedAndWaiting,45,1,0,0,0,0,0,0,0.0,1.071,549850,1.6825,0.7855,588880.0,749700,1,350000,1,1,1,1,[11],[],"[0,5,9]",0,0
2725283,11,2,577472,1738,52,125,45,188,188,1400/12/28,5508,185,187,N_0_of_FP_0_of_Niniocom21,InitializedAndWaiting,45,2,0,0,0,0,0,0,0.0,1.0502,549850,1.6499,0.7703,577472.0,749700,1,350000,1,1,1,1,[],[],[10],0,0
2725284,0,3,549188,2245,215,125,22,24,24,1400/12/28,5508,22,23,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,22,1,0,0,0,0,0,0,0.0,0.9988,549850,1.5691,0.7325,549188.0,749700,1,350000,1,1,1,1,"[9,1]","[10,11]",[],0,0
2725285,1,3,599267,3553,369,22,22,26,26,1400/12/28,5508,23,25,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,22,1,0,0,0,0,0,0,0.0,1.0899,549850,1.7122,0.7993,599267.0,749700,1,350000,1,1,1,1,"[7,2]","[9,10,11]",[0],0,0
2725286,2,3,601148,660,232,12,22,22,28,1400/12/28,5508,25,27,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,22,1,0,0,0,0,0,0,0.0,1.0933,549850,1.7176,0.8019,601148.0,749700,1,350000,1,1,1,1,"[7,3,4,6]","[9,10,11]",[1],0,0
2725287,3,3,588549,1173,211,125,22,30,30,1400/12/28,5508,27,29,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,22,1,0,0,0,0,0,0,0.0,1.0704,549850,1.6816,0.785,588549.0,749700,1,350000,1,1,1,1,[8],"[9,10,11]",[2],0,0
2725288,4,3,570564,1359,221,133,110,22,30,1400/12/28,5508,27,29,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,22,2,0,0,0,0,0,0,0.0,1.0377,549850,1.6302,0.7611,570564.0,749700,1,350000,1,1,1,1,"[10,5]",[11],[2],0,0
2725289,5,3,615937,2046,108,155,22,32,32,1400/12/28,5508,29,31,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,22,1,0,0,0,0,0,0,0.0,1.1202,549850,1.7598,0.8216,615937.0,749700,1,350000,1,1,1,1,[9],"[10,11]",[4],0,0
2725290,6,3,612072,492,113,125,22,30,30,1400/12/28,5508,27,29,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,22,1,0,0,0,0,0,0,0.0,1.1132,549850,1.7488,0.8164,612072.0,749700,1,350000,1,1,1,1,[10],[11],[2],0,0
2725291,7,3,601160,3171,109,133,155,22,58,1400/12/28,5508,55,57,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,22,1,0,0,0,0,0,0,0.0,1.0933,549850,1.7176,0.8019,601160.0,749700,1,350000,1,1,1,1,[9],"[10,11]","[1,2]",0,0
2725292,8,3,601327,2640,67,155,125,22,46,1400/12/28,5508,43,45,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,22,1,0,0,0,0,0,0,0.0,1.0936,549850,1.7181,0.8021,601327.0,749700,1,350000,1,1,1,1,[9],"[10,11]",[3],0,0
2725293,9,3,576701,3184,366,86,125,22,69,1400/12/28,5508,66,68,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,22,1,0,0,0,0,0,0,0.0,1.0488,549850,1.6477,0.7692,576701.0,749700,1,350000,1,1,1,1,[10],[11],"[0,5,7,8]",0,0
2725294,10,3,547720,3924,69,155,22,83,83,1400/12/28,5508,81,82,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,22,1,0,0,0,0,0,0,0.0,0.9961,549850,1.5649,0.7306,547720.0,749700,1,350000,1,1,1,1,[11],[],"[4,6,9]",0,0
2725295,11,3,557284,3819,298,120,22,124,124,1400/12/28,5508,121,123,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,22,2,0,0,0,0,0,0,0.0,1.0135,549850,1.5922,0.7433,557284.0,749700,1,350000,1,1,1,1,[],[],[10],0,0
2725296,0,4,605804,3869,253,22,110,42,45,1400/12/28,5508,42,44,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,42,1,0,0,0,0,0,0,0.0,1.1018,549850,1.7309,0.8081,605804.0,749700,1,350000,1,1,1,1,"[6,1]",[9],[],0,0
2725297,1,4,584362,3099,135,155,42,47,47,1400/12/28,5508,44,46,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,42,2,0,0,0,0,0,0,0.0,1.0628,549850,1.6696,0.7795,584362.0,749700,1,350000,1,1,1,1,"[3,2]","[4,7,9]",[0],0,0
2725298,2,4,566173,1130,331,12,42,49,49,1400/12/28,5508,46,48,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,42,2,0,0,0,0,0,0,0.0,1.0297,549850,1.6176,0.7552,566173.0,749700,1,350000,1,1,1,1,"[4,5]","[7,9]",[1],0,0
2725299,3,4,587260,3657,204,120,155,42,83,1400/12/28,5508,80,82,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,42,1,0,0,0,0,0,0,0.0,1.068,549850,1.6779,0.7833,587260.0,749700,1,350000,1,1,1,1,[4],"[7,9]",[1],0,0
2725300,4,4,574679,3116,149,155,22,42,101,1400/12/28,5508,98,100,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,42,1,0,0,0,0,0,0,0.0,1.0452,549850,1.6419,0.7665,574679.0,749700,1,350000,1,1,1,1,[7],[9],"[2,3]",0,0
2725301,5,4,601026,555,304,133,42,51,51,1400/12/28,5508,48,50,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,42,1,0,0,0,0,0,0,0.0,1.0931,549850,1.7172,0.8017,601026.0,749700,1,350000,1,1,1,1,[6],[9],[2],0,0
2725302,6,4,609669,1562,76,22,133,42,83,1400/12/28,5508,80,82,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,42,1,0,0,0,0,0,0,0.0,1.1088,549850,1.7419,0.8132,609669.0,749700,1,350000,1,1,1,1,"[9,8]",[],"[0,5]",0,0
2725303,7,4,612849,2984,268,22,42,139,139,1400/12/28,5508,136,138,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,42,2,0,0,0,0,0,0,0.0,1.1146,549850,1.751,0.8175,612849.0,749700,1,350000,1,1,1,1,[9],[],[4],0,0
2725304,8,4,555884,1243,34,22,42,85,85,1400/12/28,5508,82,84,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,42,1,0,0,0,0,0,0,0.0,1.011,549850,1.5882,0.7415,555884.0,749700,1,350000,1,1,1,1,[9],[],[6],0,0
2725305,9,4,621505,1072,205,86,42,171,171,1400/12/28,5508,168,170,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,42,1,0,0,0,0,0,0,0.0,1.1303,549850,1.7757,0.829,621505.0,749700,1,350000,1,1,1,1,[],[],"[6,7,8]",0,0
2725306,0,5,549580,732,225,133,8,10,10,1400/12/28,5508,8,9,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,8,1,0,0,0,0,0,0,0.0,0.9995,549850,1.5702,0.7331,549580.0,749700,1,350000,1,1,1,1,"[2,1]","[8,9,10]",[],0,0
2725307,1,5,582952,3033,166,125,8,12,12,1400/12/28,5508,9,11,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,8,1,0,0,0,0,0,0,0.0,1.0602,549850,1.6656,0.7776,582952.0,749700,1,350000,1,1,1,1,"[9,3,7]",[10],[0],0,0
2725308,2,5,624313,1072,353,110,12,8,26,1400/12/28,5508,23,25,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,8,1,0,0,0,0,0,0,0.0,1.1354,549850,1.7838,0.8328,624313.0,749700,1,350000,1,1,1,1,"[8,4]","[9,10]",[0],0,0
2725309,3,5,576544,1972,281,110,86,8,14,1400/12/28,5508,11,13,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,8,1,0,0,0,0,0,0,0.0,1.0485,549850,1.6473,0.769,576544.0,749700,1,350000,1,1,1,1,"[8,5]","[9,10]",[1],0,0
2725310,4,5,542246,1961,273,125,8,26,26,1400/12/28,5508,25,26,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,8,1,0,0,0,0,0,0,0.0,0.9862,549850,1.5493,0.7233,542246.0,749700,1,350000,1,1,1,1,"[8,6]","[9,10]",[2],0,0
2725311,5,5,600511,890,285,133,22,8,16,1400/12/28,5508,13,15,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,8,2,0,0,0,0,0,0,0.0,1.0921,549850,1.7157,0.801,600511.0,749700,1,350000,1,1,1,1,[9],[10],[3],0,0
2725312,6,5,593936,410,227,12,125,8,29,1400/12/28,5508,26,28,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,8,1,0,0,0,0,0,0,0.0,1.0802,549850,1.697,0.7922,593936.0,749700,1,350000,1,1,1,1,[8],"[9,10]",[4],0,0
2725313,7,5,559284,1480,44,120,12,8,14,1400/12/28,5508,11,13,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,8,1,0,0,0,0,0,0,0.0,1.0172,549850,1.598,0.746,559284.0,749700,1,350000,1,1,1,1,[10],[],[1],0,0
2725314,8,5,615094,3495,163,22,125,8,54,1400/12/28,5508,51,53,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,8,1,0,0,0,0,0,0,0.0,1.1187,549850,1.7574,0.8205,615094.0,749700,1,350000,1,1,1,1,[9],[10],"[2,3,4,6]",0,0
2725315,9,5,579676,3958,31,110,8,80,80,1400/12/28,5508,77,79,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,8,1,0,0,0,0,0,0,0.0,1.0542,549850,1.6562,0.7732,579676.0,749700,1,350000,1,1,1,1,[10],[],"[1,5,8]",0,0
2725316,10,5,591404,2878,221,125,120,8,106,1400/12/28,5508,103,105,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,8,2,0,0,0,0,0,0,0.0,1.0756,549850,1.6897,0.7889,591404.0,749700,1,350000,1,1,1,1,[],[],"[7,9]",0,0
2725317,0,6,621349,814,174,125,50,53,53,1400/12/28,5508,50,52,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,50,1,0,0,0,0,0,0,0.0,1.13,549850,1.7753,0.8288,621349.0,749700,1,350000,1,1,1,1,"[3,4,1,2]","[8,11,12,13]",[],0,0
2725318,1,6,624001,1001,337,110,125,50,55,1400/12/28,5508,52,54,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,50,1,0,0,0,0,0,0,0.0,1.1349,549850,1.7829,0.8323,624001.0,749700,1,350000,1,1,1,1,"[9,13,5]","[11,12]",[0],0,0
2725319,2,6,621934,1260,159,110,133,50,55,1400/12/28,5508,52,54,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,50,3,0,0,0,0,0,0,0.0,1.1311,549850,1.777,0.8296,621934.0,749700,1,350000,1,1,1,1,[13],[],[0],0,0
2725320,3,6,560638,1515,201,12,50,68,68,1400/12/28,5508,65,67,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,50,1,0,0,0,0,0,0,0.0,1.0196,549850,1.6018,0.7478,560638.0,749700,1,350000,1,1,1,1,"[8,10]","[11,12,13]",[0],0,0
2725321,4,6,559162,182,50,120,12,50,55,1400/12/28,5508,52,54,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,50,1,0,0,0,0,0,0,0.0,1.0169,549850,1.5976,0.7458,559162.0,749700,1,350000,1,1,1,1,"[7,6]",[13],[0],0,0
2725322,5,6,596232,2921,131,12,133,50,57,1400/12/28,5508,54,56,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,50,1,0,0,0,0,0,0,0.0,1.0844,549850,1.7035,0.7953,596232.0,749700,1,350000,1,1,1,1,[8],"[11,12,13]",[1],0,0
2725323,6,6,556104,938,376,22,50,57,57,1400/12/28,5508,54,56,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,50,2,0,0,0,0,0,0,0.0,1.0114,549850,1.5889,0.7418,556104.0,749700,1,350000,1,1,1,1,[8],"[11,12,13]",[4],0,0
2725324,7,6,594556,2264,169,133,50,75,75,1400/12/28,5508,72,74,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,50,1,0,0,0,0,0,0,0.0,1.0813,549850,1.6987,0.7931,594556.0,749700,1,350000,1,1,1,1,[13],[],[4],0,0
2725325,8,6,617745,879,70,120,155,50,97,1400/12/28,5508,94,96,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,50,1,0,0,0,0,0,0,0.0,1.1235,549850,1.765,0.824,617745.0,749700,1,350000,1,1,1,1,[11],"[12,13]","[3,5,6]",0,0
2725326,9,6,552524,3573,50,155,50,75,75,1400/12/28,5508,72,74,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,50,1,0,0,0,0,0,0,0.0,1.0049,549850,1.5786,0.737,552524.0,749700,1,350000,1,1,1,1,[11],"[12,13]",[1],0,0
2725327,10,6,568692,2540,73,120,22,50,70,1400/12/28,5508,67,69,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,50,1,0,0,0,0,0,0,0.0,1.0343,549850,1.6248,0.7586,568692.0,749700,1,350000,1,1,1,1,[13],[],[3],0,0
2725328,11,6,595542,1134,399,12,155,50,119,1400/12/28,5508,116,118,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,50,2,0,0,0,0,0,0,0.0,1.0831,549850,1.7015,0.7944,595542.0,749700,1,350000,1,1,1,1,[12],[13],"[8,9]",0,0
2725329,12,6,546670,2604,248,120,50,128,128,1400/12/28,5508,127,128,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,50,2,0,0,0,0,0,0,0.0,0.9942,549850,1.5619,0.7292,546670.0,749700,1,350000,1,1,1,1,[13],[],[11],0,0
2725330,13,6,570171,2037,181,125,155,50,140,1400/12/28,5508,137,139,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,50,1,0,0,0,0,0,0,0.0,1.037,549850,1.6291,0.7605,570171.0,749700,1,350000,1,1,1,1,[],[],"[1,2,7,10,12]",0,0
2725331,0,7,611288,1617,33,12,22,31,34,1400/12/28,5508,31,33,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,31,2,0,0,0,0,0,0,0.0,1.1117,549850,1.7465,0.8154,611288.0,749700,1,350000,1,1,1,1,"[9,13,1,2]",[12],[],0,0
2725332,1,7,624806,1147,130,133,125,31,36,1400/12/28,5508,33,35,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,31,1,0,0,0,0,0,0,0.0,1.1363,549850,1.7852,0.8334,624806.0,749700,1,350000,1,1,1,1,"[11,7]",[13],[0],0,0
2725333,2,7,548257,3706,15,125,31,35,35,1400/12/28,5508,33,34,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,31,1,0,0,0,0,0,0,0.0,0.9971,549850,1.5664,0.7313,548257.0,749700,1,350000,1,1,1,1,"[8,3,6]","[11,13]",[0],0,0
2725334,3,7,621242,3493,272,110,31,37,37,1400/12/28,5508,34,36,N_0_of_Clst_0_of_DC_0_of_CP_Niniocom16,InitializedAndWaiting,31,1,0,0,0,0,0,0,0.0,1.1298,549850,1.775,0.8287,621242.0,749700,1,350000,1,1,1,1,"[9,4]","[12,13]",[2],0,0
